"","country","donors"
"1","Afghanistan",3
"2","Angola",2
"3","Armenia",3
"4","Azerbaijan",1
"5","Bangladesh",4
"6","Benin",1
"7","Bhutan",2
"8","Bolivia, Plurinational State of",1
"9","Brazil",1
"10","Burkina Faso",2
"11","Burundi",3
"12","Cabo Verde",2
"13","Cambodia",4
"14","Cameroon",3
"15","Chad",3
"16","China",1
"17","Colombia",1
"18","Comoros",1
"19","Congo",1
"20","Cote d'Ivoire",3
"21","Dominican Republic",2
"22","Ecuador",1
"23","El Salvador",1
"24","Equatorial Guinea",1
"25","Ethiopia",1
"26","Fiji",1
"27","Gambia",1
"28","Georgia",2
"29","Ghana",2
"30","Guatemala",1
"31","Guyana",1
"32","Haiti",1
"33","India",1
"34","Indonesia",1
"35","Iran, Islamic Republic of",1
"36","Kazakhstan",1
"37","Kenya",2
"38","Kiribati",1
"39","Kyrgyzstan",2
"40","Lao People's Democratic Republic",3
"41","Lebanon",1
"42","Madagascar",1
"43","Malawi",1
"44","Maldives",2
"45","Mali",3
"46","Mauritania",1
"47","Mauritius",1
"48","Moldova, Republic of",1
"49","Mongolia",1
"50","Morocco",1
"51","Mozambique",1
"52","Myanmar",2
"53","Namibia",1
"54","Nepal",2
"55","Niger",1
"56","Nigeria",1
"57","Pakistan",2
"58","Papua New Guinea",1
"59","Peru",2
"60","Philippines",3
"61","Rwanda",4
"62","Samoa",2
"63","Senegal",2
"64","Somalia",1
"65","South Sudan",2
"66","Sri Lanka",1
"67","Sudan",2
"68","Tajikistan",3
"69","Tanzania, United Republic of",5
"70","Thailand",2
"71","Timor-Leste",1
"72","Tonga",2
"73","Tunisia",1
"74","Turkey",2
"75","Turkmenistan",1
"76","Uganda",2
"77","Uzbekistan",1
"78","Viet Nam",2
"79","Yemen",1
"80","Zambia",1
"81","Zimbabwe",1
